fid,_latitude,_longitude,codigo,localizaca,andar,foto,observacao,Codigo_2,Artista,Título,Data_2,Técnica,Dimensão,icon_url
1,-25.424967599999999,-49.209888300000003,90,BL04,Térreo,fd20e68b-4fd9-4531-94d8-dbbfd6fac44f,,90,Reginaldo Carvalho,(UniBrasil),"2008",Tinta óleo sobre tela,"44 x 57 cm (suporte) 62,5 x 75 cm
(moldura)",./0.png
2,-25.424485600000001,-49.210335299999997,36,BL06,4o Andar,70f82de0-0400-4561-9fa2-f7b77e7bba96,,36,Hanry Marcel kluk,Evandro C. Piza Duarta,"2010",Grafite sobre papel,"41 x 28 cm (suporte) 60 x 47
(moldura)",./0.png
3,-25.424483500000001,-49.210338900000004,38,BL06,4o Andar,8a55e54f-0aac-4800-8bbd-9c4fefcba4f6,,38,Hanry Marcel kluk,Bruno Ricardo Schier,"2010",Grafite sobre papel,"41 x 28 cm (suporte) 60 x 47
(moldura)",./0.png
4,-25.424459200000001,-49.210294699999999,37,BL06,4o Andar,d7de3cf8-e518-4b01-862e-f7c5e4ce69da,,37,Hanry Marcel kluk,Regina M. M.Ferrari,"2010",Grafite sobre papel,"41 x 28 cm (suporte) 60 x 47
(moldura)",./0.png
5,-25.424486999999999,-49.210337699999997,39,BL06,4o Andar,cf0d44bf-c5bf-469a-8fbb-31ee078caaaf,,39,Hanry Marcel kluk,Abili L. C. de Lima,"2010",Grafite sobre papel,"41 x 28 cm (suporte) 60 x 47
(moldura)",./0.png
6,-25.424490800000001,-49.210338600000000,34,BL06,4o Andar,47828f79-4ecc-41d1-8e9b-03c5da6c937b,,34,Hanry Marcel kluk,Emerson Gabardo,"2010",Grafite sobre papel,"41 x 28 cm (suporte) 60 x 47
(moldura)",./0.png
7,-25.424492099999998,-49.210337699999997,33,BL06,4o Andar,2aa78c17-ddcf-489c-88ab-5790d5dee345,,33,Hanry Marcel kluk,Marco A. Marrafon,"2010",Grafite sobre papel,"41 x 28 cm (suporte) 60 x 47
(moldura)",./0.png
8,-25.424475000000001,-49.210330300000003,35,BL06,4o Andar,ebe403f0-b63a-4321-a543-f16c87253078,,35,Hanry Marcel kluk,Estefania N. de Queiroz Barboza,"2010",Grafite sobre papel,"41 x 28,5 cm (suporte)
60 x 47
(moldura)",./0.png
9,-25.424489200000000,-49.210353499999997,40,BL06,4o Andar,78e4b770-c9a6-4f63-bed1-4f41918beb60,,40,Carlus Lisboa,Marta Marilia Tomin,"2015",Grafite sobre papel,"41 x 28,5 cm (suporte)
60 x 47
(moldura)",./0.png
10,-25.424500999999999,-49.210334600000003,142,BL06,4o Andar,5cfd23b6-06c8-46d7-b63b-af5cc32087d0,,142,Reginaldo Carvalho,Sem título,"2019",Tinta óleo sobre tela,160 x 560 cm,./0.png
11,-25.424001400000002,-49.212747600000000,145,BL08,1o Andar,72019e95-d101-4d86-9733-26d2e1992f02,,145,Autor desconhecido,Sem título,Sem data,Reprodução em preto e branco sobre papel fotográfico,90 x 60 cm (suporte) 101 x 72 cm (moldura),./0.png
12,-25.424743500000002,-49.210665499999998,164,AUDITÓRIO BLOCO 6,Térreo,b3434bdf-f394-443d-969c-876aeced4cf9,,,,,,,,./0.png
13,-25.424740900000000,-49.210641899999999,27,AUDITÓRIO BLOCO 6,Térreo,dde6997d-510d-4674-ab74-8c5ba3974d06,,27,Davi Rodrigues,Busto do Rui Barbosa,"2015",Escultura em resina,"73 x 55 x 30
cm",./0.png
14,-25.424739800000001,-49.210687900000003,110,AUDITÓRIO BLOCO 6,Térreo,2eea92b1-eeee-4d1f-817b-87b6b139828d,,110,Reginaldo Carvalho,(Passeio Público),"2003",Tinta óleo sobre tela,"70 x 80 cm (suporte)
96 x 105 cm (moldura)",./0.png
15,-25.424745600000001,-49.210506899999999,65,AUDITÓRIO BLOCO 6,Térreo,824c3492-1b23-41bc-8199-c7ba2ff6b688,,65,Isael M. Caetano,(UniBrasil),Sem data,Tinta óleo sobre tela,100 x 120 cm,./0.png
16,-25.424767800000001,-49.210592300000002,66,AUDITÓRIO BLOCO 6,Térreo,fa592349-6ddc-49cb-b247-3b3b1f2bb3b6,,66,Isael M. Caetano,(Abstrato),Sem data,Tinta óleo sobre tela,150 x 300 cm,./0.png
17,-25.424719000000000,-49.210629400000002,64,AUDITÓRIO BLOCO 6,Térreo,871aa665-ae14-4592-a31f-cc564bf3fac6,,64,Isael M. Caetano,(UniBrasil),Sem data,Tinta óleo sobre tela,50 x 150 cm,./0.png
